FID;OBJECTID;AmbulanceR;BikeAge_Gr;Bike_Age;Bike_Alc_D;Bike_Dir;Bike_Injur;Bike_Pos;Bike_Race;Bike_Sex;City;County;CrashAlcoh;CrashDay;Crash_Date;Crash_Grp;Crash_Hour;Crash_Loc;Crash_Mont;Crash_Time;Crash_Type;Crash_Ty_1;Crash_Year;Crsh_Sevri;Developmen;DrvrAge_Gr;Drvr_Age;Drvr_Alc_D;Drvr_EstSp;Drvr_Injur;Drvr_Race;Drvr_Sex;Drvr_VehTy;ExcsSpdInd;Hit_Run;Light_Cond;Locality;Num_Lanes;Num_Units;Rd_Charact;Rd_Class;Rd_Conditi;Rd_Config;Rd_Defects;Rd_Feature;Rd_Surface;Region;Rural_Urba;Speed_Limi;Traff_Cntr;Weather;Workzone_I;Location
72;73;No;40-49;45;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Wake;No;01/01/2003;14/02/2007;Other / Unusual Circumstances;17;Non-Intersection;01/02/2001;01/01/2001 17:25;Motorist Intentionally Caused;311510;2007;C: Possible Injury;Farms, Woods, Pastures;NA;NA;No;16-20 mph;Injury;/Missing;NA;Passenger Car;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2;Curve - Hillcrest;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Piedmont;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.68361, -78.72344
75;76;Yes;30-39;30;No;With Traffic;A: Disabling Injury;Travel Lane;Black;Male;Charlotte;Mecklenburg;No;01/01/2007;18/02/2007;Motorist Failed to Yield - Sign-Controlled Intersection;18;Intersection;01/02/2001;01/01/2001 18:56;Motorist Drive Out - Sign-Controlled Intersection;111141;2007;A: Disabling Injury;Commercial;60-69;64;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.18636, -80.89053
82;83;Yes;16-19;17;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Rocky Mount;Nash;No;01/01/2004;22/02/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;14;Intersection;01/02/2001;01/01/2001 14:34;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;B: Evident Injury;Residential;50-59;50;No;21-25 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Coastal;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.988876, -77.796814
84;85;Yes;20-24;20;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Burlington;Alamance;No;01/01/2005;26/01/2007;Parallel Paths - Other Circumstances;17;Non-Intersection;NA;01/01/2001 17:29;Parallel Paths - Other /;311280;2007;B: Evident Injury;Residential;60-69;66;No;31-35 mph;O: No Injury;White;Male;Truck/Trailer;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Grooved Concrete;Piedmont;Urban;30 - 35  MPH;Double Yellow Line, No Passing Zone;Clear;No;36.0626, -79.47011
85;86;Yes;15-nov;14;No;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Columbus;No;01/01/2002;20/03/2007;Bicyclist Right Turn / Merge;19;Non-Intersection;01/03/2001;01/01/2001 19:09;Bicyclist Right Turn - Same Direction;312223;2007;B: Evident Injury;Residential;30-39;30;No;36-40 mph;B: Evident Injury;Black;Male;Tractor/Semi-Trailer;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No;34.450195, -78.917656
88;89;No;15-nov;15;No;Not Applicable;C: Possible Injury;NA;Black;Male;Fayetteville;Cumberland;No;01/01/2006;24/02/2007;Crossing Paths - Other Circumstances;16;Intersection-Related;01/02/2001;01/01/2001 16:18;Crossing Paths - Intersection - Other /;293180;2007;C: Possible Injury;Commercial;30-39;34;No;31-35 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Coastal;Urban;50 - 55  MPH;Stop And Go Signal;Clear;No;35.037567, -79.006966
89;90;No;16-19;19;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;None - Rural Crash;Wilson;No;01/01/2006;24/02/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;10;Intersection;01/02/2001;01/01/2001 10:05;Bicyclist Ride Out - Sign-Controlled Intersection;111142;2007;B: Evident Injury;Residential;20-24;24;No;16-20 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);1 lane;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;30 - 35  MPH;Stop Sign;Clear;No;35.721947, -77.89966
93;94;Yes;15-nov;11;No;With Traffic;C: Possible Injury;Travel Lane;Native American;Male;Greenville;Pitt;No;01/01/2006;10/02/2007;Bicyclist Left Turn / Merge;16;Intersection-Related;01/02/2001;01/01/2001 16:29;Bicyclist Left Turn - Opposite Direction;211222;2007;C: Possible Injury;Residential;30-39;36;No;31-35 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Urban;40 - 45  MPH;No Control Present;Clear;No;35.648922, -77.39807
107;108;No;16-19;16;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Charlotte;Mecklenburg;No;01/01/2005;09/03/2007;Bicyclist Failed to Yield - Signalized Intersection;12;Intersection;01/03/2001;01/01/2001 11:59;Bicyclist Failed to Clear - Trapped;111156;2007;B: Evident Injury;Commercial;40-49;48;No;0-5 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.29199, -80.796616
125;126;Yes;40-49;46;Yes;Not Applicable;A: Disabling Injury;Non-Roadway;Black;Male;Lincolnton;Lincoln;Yes;01/01/2005;09/03/2007;Bicyclist Failed to Yield - Midblock;14;Non-Intersection;01/03/2001;01/01/2001 14:14;Bicyclist Ride Out - Commercial Driveway / Alley;363312;2007;A: Disabling Injury;Commercial;30-39;32;No;41-45 mph;O: No Injury;Hispanic;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.476604, -81.239136
131;132;No;70+;NA;No;NA;O: No Injury;NA;Black;Male;Rocky Mount;Nash;No;01/01/2006;17/03/2007;Crossing Paths - Other Circumstances;12;Intersection;01/03/2001;01/01/2001 12:36;Sign-Controlled Intersection - Other /;199148;2007;O: No Injury;Residential;25-29;29;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.958202, -77.80243
133;134;No;60-69;65;No;Facing Traffic;O: No Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Raleigh;Wake;No;01/01/2007;18/03/2007;Motorist Failed to Yield - Signalized Intersection;12;Intersection;01/03/2001;01/01/2001 12:08;Motorist Drive Out - Right Turn on Red;132151;2007;O: No Injury;Commercial;40-49;41;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.78048, -78.64347
135;136;Yes;40-49;45;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Lumberton;Robeson;Yes;NA;19/03/2007;Motorist Failed to Yield - Sign-Controlled Intersection;19;Intersection;01/03/2001;01/01/2001 19:36;Motorist Drive Out - Sign-Controlled Intersection;132141;2007;C: Possible Injury;Residential;20-24;22;Yes;0-5 mph;O: No Injury;White;Female;Passenger Car;No;Yes;Daylight;Urban (>70% Developed);6 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Coastal;Urban;20 - 25  MPH;Stop Sign;Clear;No;34.608913, -79.022606
138;139;No;15-nov;13;No;Facing Traffic;B: Evident Injury;NA;Black;Female;Raleigh;Wake;No;01/01/2002;20/03/2007;Motorist Left Turn / Merge;19;Intersection;01/03/2001;01/01/2001 18:59;Motorist Left Turn - Same Direction;192211;2007;B: Evident Injury;Residential;50-59;56;No;16-20 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Flashing Signal With Stop Sign;Clear;No;35.776352, -78.62084
141;142;Yes;16-19;19;No;With Traffic;K: Killed;Travel Lane;White;Male;Jacksonville;Onslow;No;01/01/2004;22/03/2007;Motorist Overtaking Bicyclist;0;Non-Intersection;01/03/2001;01/01/2001 00:14;Motorist Overtaking - Undetected Bicyclist;311231;2007;K: Killed;Commercial;30-39;36;No;51-55 mph;O: No Injury;White;Male;Pickup;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;US Route;Dry;One-Way, Not Divided;None;Bridge;Smooth Asphalt;Coastal;Urban;50 - 55  MPH;No Control Present;Clear;No;34.747746, -77.40832
151;152;No;10-juin;6;No;Not Applicable;C: Possible Injury;NA;White;Male;Gastonia;Gaston;No;NA;26/03/2007;Bicyclist Failed to Yield - Midblock;16;Non-Intersection;01/03/2001;01/01/2001 16:51;Bicyclist Ride Out - Midblock -;393319;2007;C: Possible Injury;Residential;25-29;26;No;26-30 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.26428, -81.21638
154;155;Yes;15-nov;12;No;Not Applicable;B: Evident Injury;Driveway / Alley;White;Male;None - Rural Crash;Henderson;Yes;01/01/2007;25/03/2007;Bicyclist Failed to Yield - Midblock;12;Non-Intersection;01/03/2001;01/01/2001 12:28;Bicyclist Ride Out - Residential Driveway;353311;2007;B: Evident Injury;Farms, Woods, Pastures;40-49;45;Yes;26-30 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Gravel;Mountains;Rural;50 - 55  MPH;No Control Present;Clear;No;35.252415, -82.500824
162;163;Yes;40-49;46;Yes;Not Applicable;A: Disabling Injury;Non-Roadway;Black;Male;Wilmington;New Hanover;Yes;01/01/2004;29/03/2007;Bicyclist Failed to Yield - Midblock;17;Non-Intersection;01/03/2001;01/01/2001 17:13;Bicyclist Ride Out - Commercial Driveway / Alley;363312;2007;A: Disabling Injury;Commercial;20-24;23;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Coarse Asphalt;Coastal;Urban;40 - 45  MPH;No Control Present;Clear;No;34.199417, -77.8706
164;165;Yes;30-39;35;No;Facing Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;None - Rural Crash;Dare;No;01/01/2005;30/03/2007;Motorist Failed to Yield - Midblock;11;Non-Intersection;01/03/2001;01/01/2001 11:14;Motorist Drive Out - Commercial Driveway / Alley;322322;2007;C: Possible Injury;Residential;40-49;49;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;Driveway, Public;Coarse Asphalt;Coastal;Rural;NA;No Control Present;Clear;No;35.353954, -75.50303
165;166;No;15-nov;14;No;Facing Traffic;O: No Injury;NA;Black;Male;Raleigh;Wake;No;01/01/2004;29/03/2007;Bicyclist Failed to Yield - Signalized Intersection;19;Intersection-Related;01/03/2001;01/01/2001 19:33;Bicyclist Ride Out - Signalized  Intersection;292153;2007;O: No Injury;Commercial;30-39;33;No;0-5 mph;O: No Injury;White;Female;Sport Utility;No;No;Dusk;Urban (>70% Developed);7 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No;35.84979, -78.5809
186;187;Yes;10-juin;7;No;Not Applicable;C: Possible Injury;Non-Roadway;Black;Male;Winston-Salem;Forsyth;No;01/01/2003;04/04/2007;Bicyclist Failed to Yield - Midblock;18;Non-Intersection;01/04/2001;01/01/2001 18:08;Bicyclist Ride Out - Other Midblock;363318;2007;C: Possible Injury;Residential;30-39;30;No;21-25 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);NA;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;36.122974, -80.22263
192;193;No;20-24;23;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Charlotte;Mecklenburg;No;01/01/2006;07/04/2007;Motorist Failed to Yield - Midblock;14;Non-Intersection;01/04/2001;01/01/2001 14:18;Motorist Drive Out - Residential Driveway;332321;2007;C: Possible Injury;Residential;70+;NA;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);NA;2;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Concrete;Piedmont;Urban;NA;No Control Present;Clear;No;35.1686, -80.8049
200;201;Yes;15-nov;12;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Kinston;Lenoir;No;NA;02/07/2007;Bicyclist Right Turn / Merge;20;Non-Intersection;01/07/2001;01/01/2001 20:22;Bicyclist Right Turn - Same Direction;311223;2007;B: Evident Injury;Commercial;40-49;40;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Dusk;Urban (>70% Developed);5 lanes;2;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Coastal;Urban;40 - 45  MPH;No Control Present;Clear;No;35.26691, -77.6304
209;210;No;16-19;16;No;Facing Traffic;C: Possible Injury;NA;Black;Male;Durham;Durham;No;01/01/2004;12/04/2007;Motorist Failed to Yield - Sign-Controlled Intersection;19;Intersection;01/04/2001;01/01/2001 19:23;Motorist Drive Out - Sign-Controlled Intersection;192141;2007;C: Possible Injury;Residential;50-59;59;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;36.022438, -78.91769
210;211;No;15-nov;11;No;NA;B: Evident Injury;Travel Lane;White;Female;Emerald Isle;Carteret;No;01/01/2005;13/04/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;14;Intersection;01/04/2001;01/01/2001 14:19;Bicyclist Ride Through - Sign-Controlled Intersection;119144;2007;B: Evident Injury;Residential;30-39;33;No;21-25 mph;O: No Injury;White;Male;Van;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Coastal;Rural;20 - 25  MPH;Stop Sign;Clear;No;34.672802, -76.977646
213;214;Yes;15-nov;14;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Salisbury;Rowan;No;01/01/2005;06/07/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;17;Intersection;01/07/2001;01/01/2001 17:16;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;B: Evident Injury;Residential;50-59;58;No;21-25 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Stop Sign;Clear;No;35.66668, -80.475426
218;219;Yes;0-5;5;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Richmond;No;NA;16/04/2007;Backing Vehicle;15;Non-Intersection;01/04/2001;01/01/2001 15:29;Backing Vehicle;311600;2007;B: Evident Injury;Residential;40-49;41;No;0-5 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Piedmont;Rural;30 - 35  MPH;No Control Present;Clear;No;34.921207, -79.76829
222;223;Yes;30-39;39;No;With Traffic;A: Disabling Injury;Travel Lane;White;Male;None - Rural Crash;Gaston;No;01/01/2002;17/04/2007;Motorist Overtaking Bicyclist;17;Non-Intersection;01/04/2001;01/01/2001 17:04;Motorist Overtaking - Undetected Bicyclist;311231;2007;A: Disabling Injury;Residential;25-29;27;No;46-50 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;40 - 45  MPH;No Control Present;Clear;No;35.292557, -81.23695
224;225;No;30-39;37;No;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Female;None - Rural Crash;Pitt;No;01/01/2002;17/04/2007;Motorist Overtaking Bicyclist;7;Non-Intersection;01/04/2001;01/01/2001 07:49;Motorist Overtaking - Undetected Bicyclist;321231;2007;C: Possible Injury;Farms, Woods, Pastures;25-29;29;No;41-45 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Hillcrest;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Rural;50 - 55  MPH;No Control Present;Clear;No;35.610477, -77.44189
226;227;Yes;40-49;41;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Charlotte;Mecklenburg;No;01/01/2002;17/04/2007;Bicyclist Overtaking Motorist;17;Non-Intersection;01/04/2001;01/01/2001 17:02;Bicyclist Overtaking - Other /;311249;2007;B: Evident Injury;Institutional;30-39;34;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.188705, -80.830986
227;228;Yes;20-24;21;No;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Charlotte;Mecklenburg;No;01/01/2003;18/04/2007;Motorist Right Turn / Merge;21;Intersection;01/04/2001;01/01/2001 21:47;Motorist Right Turn - Same Direction;131213;2007;B: Evident Injury;Residential;40-49;40;No;6-10 mph;O: No Injury;White;Female;Sport Utility;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Other;No;35.159485, -80.92077
